ID,Category,Severity,Component,Description,Current State,Required State,Recommendation,Estimated Effort
MON-004,monitoring,medium,Error Alert System,連続エラー発生時の自動アラート機能が不十分,ChatWork通知は部分的に実装されているが閾値ベースのアラートがない,5分間に3回以上エラーで即時アラート/日次サマリーメール,app/api/monitoring/alerts/route.tsを作成,medium
MON-005,monitoring,medium,n8n Execution Aggregator,n8n実行履歴をDBに集約する機能がない,n8n内部にログは存在するがN3 DB側に同期されていない,n8n Execution Webhookを受信しcore.n8n_execution_logsに記録,app/api/n8n/execution-webhook/route.tsを作成,small
INC-001,db,high,products_master vs products,一部のコードでproducts_masterとproductsを混同している可能性,スキーマはproducts_masterだが古いコードにproducts参照が残存の恐れ,全コードでproducts_masterに統一,grep -r from.*(products)[^_]で検索し修正,small
INC-002,n8n,high,Webhook Path Inconsistency,README記載のWebhookパスと実際のn8nワークフロー設定に不一致の恐れ,/webhook/listing-reserve等のパスが一部のワークフローで異なる可能性,全Webhookパスを正規化しlib/n8n/webhook-paths.tsで一元管理,webhook-normalizer.tsを使用して全パスを検証・修正,medium
INC-003,db,medium,Column Name Variations,テーブル間でカラム名の命名規則が不統一の箇所がある,created_at/createdAt/creation_dateなど混在の恐れ,全テーブルでsnake_case(created_at)に統一,DBスキーマを監査し統一されていないカラムをALTER TABLEで修正,small
INC-004,api,medium,API Response Format,APIレスポンスの形式が統一されていない箇所がある,{success/data}/{data}/{result}など混在の恐れ,全APIで{success:boolean/data?:T/error?:{code/message}}に統一,lib/api/response-formatter.tsを作成し全APIで使用,medium
INC-005,n8n,medium,Environment Variable Names,n8nとNext.jsで環境変数名が微妙に異なる箇所がある,SUPABASE_URL vs NEXT_PUBLIC_SUPABASE_URLなど,環境変数マッピングを明確化し両方で利用可能にする,lib/config/env-mapping.tsを作成し変換ロジックを一元化,small
SEC-001,security,critical,API Rate Limiting,Next.js APIルートにレート制限が未実装,無制限のAPIアクセスが可能,IP/ユーザーごとに分単位のレート制限,middleware.tsでUpstash Ratelimitを導入,medium
SEC-002,security,high,Input Validation,一部のAPIでZod等による入力バリデーションが不十分,body.xxxで直接アクセスしている箇所あり,全APIでZodスキーマによるバリデーション,lib/validation/api-schemas.tsを作成し全APIで使用,medium
SEC-003,security,high,CSRF Protection,状態変更APIにCSRF保護が未実装の箇所がある,POST/PUT/DELETE APIにCSRFトークン検証なし,カスタムヘッダーorCSRFトークンによる保護,middleware.tsでOriginヘッダー検証を追加,small
